0.19821587, 0.29940185;0.1985, 0.3003
0.1991472, 0.3005881;0.1992, 0.3013
-0.25321466, 0.2590136;-0.2557, 0.2589
0.09829978, -0.3025779;0.0983, -0.3022
-0.40619728, 0.40247864;-0.4039, 0.402
-0.39514208, 0.19612789;-0.3965, 0.1948
0.40040162, 0.10734155;0.4004, 0.107
-0.39850277, 0.19975866;-0.3992, 0.1985
-0.09904332, -0.102371134;-0.1011, -0.1046
0.39916208, 0.10049418;0.3987, 0.1
-0.40204644, 0.3997829;-0.4001, 0.3998
0.20518799, 0.29894117;0.2052, 0.2998
0.3996209, 0.10183629;0.3991, 0.1013
-0.094286434, -0.10739639;-0.0963, -0.1097
0.20055221, 0.3027364;0.2005, 0.3037
-0.39521554, 0.19902177;-0.396, 0.1981
0.40114793, 0.09807484;0.4011, 0.0969
-0.30258188, -0.3002055;-0.3021, -0.301
0.19811864, 0.29873803;0.1984, 0.2995
-0.098337986, -0.10168914;-0.1, -0.1035
-0.0052263453, 0.0065546976;-0.0064, 0.0094
-0.0012919422, -0.0040631075;-0.0021, -0.0017
-0.24515133, 0.2538062;-0.2469, 0.2525
0.39934674, 0.10183933;0.3989, 0.1012
-0.24725246, 0.2511123;-0.2488, 0.2493
0.40336466, 0.10180978;0.4034, 0.1013
0.4009668, 0.100132406;0.4008, 0.0994
-0.29580408, -0.30318126;-0.2954, -0.3031
-0.29664215, -0.3005468;-0.2958, -0.3007
-0.101904534, -0.10116207;-0.104, -0.1027
0.100379966, -0.30251032;0.1007, -0.3026
0.1994998, -0.20056014;0.2002, -0.2009
-0.29838145, -0.30260164;-0.2974, -0.3027
0.20187706, 0.2982178;0.2017, 0.2992
-0.40393597, 0.39356372;-0.4014, 0.394
0.2011357, 0.30508018;0.2012, 0.3055
-0.00869614, -0.0021632153;-0.0099, 2.0E-4
0.2004058, 0.30032396;0.2003, 0.3009
0.39721906, 0.09467109;0.397, 0.0939
-0.3936573, 0.398194;-0.3927, 0.398
0.0021415, -0.0023946627;8.0E-4, -6.0E-4
-0.10682322, -0.10342594;-0.1089, -0.1053
-0.24984095, 0.2502685;-0.2507, 0.2486
0.39816967, 0.09313842;0.3981, 0.0922
0.19605207, -0.1965423;0.1976, -0.1972
0.19854861, 0.29847533;0.1987, 0.2994
0.0036914714, 0.0038262308;0.003, 0.0064
-0.09874314, -0.09591323;-0.1012, -0.0975
-0.40357554, 0.40324134;-0.4015, 0.4025
-0.24782602, 0.24698608;-0.2492, 0.2453
-0.3027507, -0.2970163;-0.3027, -0.2978
-0.09936375, -0.1056013;-0.1015, -0.1077
0.19751932, -0.20080425;0.1988, -0.2014
-0.24824421, 0.2527529;-0.2494, 0.2514
0.20116672, 0.29909372;0.2009, 0.2997
-0.3968823, 0.20246464;-0.3978, 0.2015
-0.40595943, 0.20424661;-0.406, 0.203
0.3999629, 0.0990412;0.3993, 0.0981
0.20152482, -0.20390362;0.2019, -0.2037
0.099818505, -0.30329382;0.1003, -0.3034
0.4060874, 0.093649164;0.4052, 0.0929
-0.0950324, -0.10185757;-0.0971, -0.1035
-0.10079575, -0.10008327;-0.103, -0.1016
-0.29714406, -0.30394483;-0.2962, -0.3037
0.20319137, -0.19902968;0.2036, -0.1992
0.20328371, 0.29719144;0.2033, 0.2983
-0.10175909, -0.10259947;-0.1038, -0.1046
0.20434064, 0.293786;0.2043, 0.2949
0.19945411, 0.29548094;0.1994, 0.2969
0.19876942, 0.29845917;0.1989, 0.2993
0.19876862, 0.29959306;0.1991, 0.3004
0.19520983, -0.19437315;0.197, -0.1949
-0.10188885, -0.09831496;-0.1039, -0.1001
0.10673082, -0.29560646;0.1078, -0.295
0.19897838, -0.19618647;0.1999, -0.197
-8.089398E-4, 0.0013910008;-0.0018, 0.0035
-0.30610865, -0.30072963;-0.3066, -0.3016
-0.24688663, 0.24659355;-0.2483, 0.2449
-0.25521392, 0.25423837;-0.2566, 0.2539
0.10187371, -0.30397797;0.1022, -0.3041
0.19639157, 0.29949984;0.1969, 0.3003
-0.29939827, -0.30130994;-0.2987, -0.3016
0.40333495, 0.09852236;0.4034, 0.0977
-0.4006551, 0.20372011;-0.401, 0.2025
0.20363599, 0.2990656;0.2035, 0.2999
-0.098106176, -0.098961525;-0.1003, -0.1004
0.19630903, -0.19675323;0.1979, -0.1975
-0.3973142, 0.20164225;-0.3981, 0.2008
-0.25389427, 0.24385557;-0.2546, 0.2417
-0.09879327, -0.1003711;-0.1006, -0.1018
0.4029733, 0.102565676;0.4029, 0.1023
0.09996226, -0.30091652;0.1, -0.3012
-0.39376208, 0.19904128;-0.3944, 0.198
-0.39918762, 0.40277073;-0.3979, 0.4022
0.09895605, -0.29467008;0.0988, -0.2939
-0.24874116, 0.2522078;-0.2498, 0.2507
-0.25007766, 0.2494288;-0.2509, 0.2478
-0.24627241, 0.25169578;-0.2481, 0.2499
0.19949768, 0.29982182;0.1995, 0.3003
0.20665821, -0.19960405;0.2066, -0.1996
0.0999451, -0.30085567;0.1, -0.3012
0.20258583, -0.20162533;0.2031, -0.2013
-0.4024328, 0.40018213;-0.4003, 0.4002
0.20089269, 0.3006318;0.2007, 0.3016
0.104257956, -0.29648533;0.1046, -0.2954
-0.40049276, 0.20062931;-0.4009, 0.1994
-0.24622928, 0.25357836;-0.248, 0.252
0.39756963, 0.10445891;0.397, 0.104
0.19715749, -0.19346373;0.1986, -0.1939
0.20077503, 0.2976938;0.2007, 0.2988
0.09226665, -0.294056;0.0925, -0.2936
0.20579913, -0.19753264;0.2059, -0.1977
-0.40645802, 0.39826754;-0.4035, 0.399
-0.3005462, -0.2972637;-0.2998, -0.2985
-0.3995376, 0.39992166;-0.3985, 0.3999
-0.003662147, 8.588479E-4;-0.0046, 0.0031
-0.102502085, -0.10491099;-0.1044, -0.1072
-0.4008332, 0.39808008;-0.3991, 0.3984
-0.0039460477, 8.027815E-4;-0.0051, 0.0032
-0.40137428, 0.20351541;-0.4016, 0.2023
0.40204936, 0.09819814;0.4021, 0.0971
-0.001757294, 0.0043285973;-0.0028, 0.0072
-0.396629, 0.39955375;-0.3959, 0.3996
-0.25509778, 0.24959834;-0.2557, 0.2481
-0.29980183, -0.29434252;-0.2991, -0.2949
-0.10514646, -0.09608577;-0.1068, -0.0979
-0.09463934, -0.106632784;-0.0965, -0.1089
-0.2960038, -0.30250743;-0.2954, -0.3025
0.19845207, 0.30101094;0.1986, 0.3015
0.10473031, -0.30005586;0.1051, -0.2999
0.20365947, 0.29445398;0.2037, 0.2959
0.099246584, -0.29794946;0.0994, -0.2975
0.19703326, 0.29870284;0.1974, 0.2996
0.19909777, -0.19685867;0.2001, -0.1978
-5.2247883E-4, 0.005158586;-0.0018, 0.0082
0.003259484, -0.004058235;0.002, -0.0024
-0.40140954, 0.4040598;-0.3997, 0.4029
-0.09563052, -0.09908575;-0.0977, -0.1006
-0.40589014, 0.39855027;-0.4032, 0.399
