-0.39462727, 0.39887255;-0.3935, 0.3985
-0.40142566, 0.40249157;-0.3997, 0.4017
-0.10574304, -0.09984431;-0.1077, -0.1015
0.19364542, 0.30219278;0.194, 0.3036
0.39788634, 0.10140526;0.3979, 0.1008
-0.0032314016, 0.0034599653;-0.0045, 0.006
0.3961867, 0.09253098;0.3956, 0.0913
-0.097157486, -0.100802384;-0.099, -0.1025
-0.40119883, 0.4009012;-0.3996, 0.4007
0.2015418, 0.30243707;0.2016, 0.3035
-0.39652336, 0.39997047;-0.3957, 0.4001
-0.40189496, 0.4003869;-0.4001, 0.4003
-0.0033297709, -0.00177706;-0.0042, 0.0
0.10333632, -0.2972204;0.1036, -0.2965
0.20123701, 0.30334467;0.2011, 0.3043
-1.1914815E-4, 0.0019100282;-0.0014, 0.0039
0.1011367, -0.30138406;0.1016, -0.3017
-0.4003257, 0.39852825;-0.3989, 0.3985
0.19596782, 0.29618812;0.1968, 0.2974
0.20046628, -0.20757665;0.2004, -0.2073
0.2028638, -0.19768012;0.2034, -0.1983
-0.25141704, 0.24934253;-0.252, 0.2477
0.09749982, -0.29652098;0.0974, -0.2961
0.19788003, -0.20001802;0.199, -0.2007
-0.1006458, -0.10110826;-0.1029, -0.1027
0.20597738, -0.19490787;0.2061, -0.1954
-0.24257413, 0.2539301;-0.244, 0.2523
0.1941914, -0.20840132;0.1954, -0.2087
-0.24808417, 0.24733166;-0.2493, 0.2455
-0.30329084, -0.30165812;-0.3035, -0.3024
0.095114, -0.29955736;0.0947, -0.2993
0.09753946, -0.29898685;0.0975, -0.2988
-0.10055247, -0.10107001;-0.1026, -0.1028
-0.40599164, 0.19880079;-0.406, 0.1982
-0.39981693, 0.20135567;-0.4003, 0.2001
-0.39706615, 0.396714;-0.3966, 0.3968
0.19948046, 0.30224514;0.1996, 0.3032
-0.24667637, 0.2477199;-0.2479, 0.2461
-0.29746616, -0.29916346;-0.2967, -0.2999
-0.094883665, -0.09945904;-0.097, -0.101
-0.0013283271, 9.898312E-4;-0.0025, 0.0031
0.20267539, 0.3018192;0.2028, 0.3027
-0.40099233, 0.20248833;-0.4014, 0.2016
0.2019529, 0.30318123;0.2019, 0.3039
-0.39643317, 0.20010562;-0.3974, 0.1996
-0.39969796, 0.1952353;-0.4005, 0.1941
-0.0021384319, -0.0052848235;-0.0029, -0.0027
-0.39612415, 0.19958183;-0.3972, 0.1987
-0.3992759, 0.19405387;-0.4002, 0.193
0.20453191, 0.30089068;0.2047, 0.3019
-0.10244248, -0.09641904;-0.1043, -0.0978
0.20566334, 0.29985175;0.2062, 0.301
0.40007693, 0.097034246;0.3999, 0.096
-0.40022555, 0.19799213;-0.4008, 0.1964
-0.09976783, -0.09880786;-0.1017, -0.1003
-0.24768887, 0.25061098;-0.2492, 0.2488
0.20381956, 0.3001983;0.2039, 0.3011
-0.0028116903, -0.0029500183;-0.0036, -0.0012
-0.25112152, 0.24717036;-0.2519, 0.2458
0.20138489, -0.20787908;0.2012, -0.2075
-0.40308204, 0.39859805;-0.4008, 0.399
0.20526502, -0.200181;0.2055, -0.2002
0.09795097, -0.29953688;0.098, -0.2991
-0.29691923, -0.29808104;-0.2961, -0.2991
-0.25222585, 0.24921146;-0.2528, 0.2476
0.3965639, 0.09674658;0.3964, 0.0959
-0.10839192, -0.09950215;-0.1103, -0.1012
0.20318803, 0.30084142;0.2033, 0.3018
0.003564961, -0.0053377016;0.0022, -0.003
-0.29833537, -0.29842854;-0.2973, -0.2992
-0.24520156, 0.24758735;-0.2469, 0.2457
-0.10238559, -0.098626144;-0.1046, -0.1004
0.2056291, 0.29773396;0.2055, 0.2991
0.09799377, -0.3018496;0.0979, -0.3018
-0.4019748, 0.19735874;-0.4021, 0.1959
-0.30150056, -0.3028453;-0.3014, -0.3031
-0.40083578, 0.4027774;-0.3993, 0.4021
-0.3988893, 0.2004309;-0.3994, 0.1993
-0.24786824, 0.25358316;-0.2495, 0.2519
-0.25399154, 0.2540399;-0.2554, 0.2535
-0.10248244, -0.09819727;-0.1047, -0.1002
-0.25288665, 0.25255454;-0.2538, 0.2515
8.4209765E-5, -0.002263384;-0.001, -6.0E-4
-0.39877304, 0.39763656;-0.3978, 0.3976
0.10286186, -0.29865462;0.1035, -0.2985
-0.40003633, 0.20314468;-0.4004, 0.2021
-0.30649412, -0.30090404;-0.3071, -0.3018
0.39765757, 0.09761926;0.3975, 0.0967
-0.0052243085, -0.0013922504;-0.0061, 7.0E-4
-0.30067718, -0.2985315;-0.3, -0.2994
-0.100260146, -0.101554066;-0.1023, -0.1033
-0.09503277, -0.098823726;-0.0973, -0.1005
-0.4011841, 0.20074739;-0.4015, 0.1994
-0.09735477, -0.101348534;-0.0992, -0.103
0.099286065, -0.3020705;0.0996, -0.302
-0.29962817, -0.29875115;-0.2989, -0.2994
-0.3060654, -0.2945636;-0.3066, -0.2951
-0.40015915, 0.40286422;-0.3989, 0.4022
-0.25336272, 0.25151488;-0.2543, 0.2502
0.40542567, 0.10404705;0.4053, 0.1035
-0.097118996, -0.09171776;-0.0991, -0.0934
-0.40291572, 0.40006727;-0.4008, 0.4001
